gxfrg007测试,#genre#
翡翠台p2p,p2p://ns1.hellotvvod.com:9906/d90b51f967934f94a321babdd5b1bfd0
翡翠台,http://pull-f5-spe.ixigua.com:80/live/epanfhwwipthiyitiqzxcxbfhiqfivhjtijvbtvisixzfsiicvbctvbfc.flv
明珠台,mitv://ns1.hellotvvod.com:9906/9d78b84c273e4922948f4e5926615afa
无线新闻,http://9.zhxinda.xyz/newss.php?id=1
无线财经,http://9.zhxinda.xyz/newss.php?id=2
翡翠台2,http://120.84.96.55:808/hls/25/index.m3u8
翡翠台3,http://120.84.96.47:808/hls/25/index.m3u8
翡翠台4,http://1b6467f415.iok.la:113/tsfile/live/1053_1.m3u8
无线新闻,http://111.229.84.232/yulin/tvb.php?id=1
TVB无线财经,http://120.84.96.53:808/hls/86/index.m3u8
J5,http://120.84.96.55:808/hls/86/index.m3u8
私人影院,http://gxfrg007.8800.org:8282/tsfile/live/1061_1.m3u8
天映经典台,http://gxfrg007.8800.org:8282/tsfile/live/1053_1.m3u8
TVB 星河台,http://gxfrg007.8800.org:8282/tsfile/live/1062_1.m3u8
东森电影,http://gxfrg007.8800.org:8282/tsfile/live/1049_1.m3u8
东森洋片,http://gxfrg007.8800.org:8282/tsfile/live/1050_1.m3u8
龙翔电影台,http://gxfrg007.8800.org:8282/tsfile/live/1048_1.m3u8
中国电影,http://gxfrg007.8800.org:8282/tsfile/live/1088_1.m3u8
翡翠台1,http://1b6467f415.iok.la:113/tsfile/live/1053_1.m3u8
Animax,https://livecdn.fptplay.net/hda3/animaxport_2000.stream/playlist.m3u8
Antv,http://antvlive.ab5c6921.cdnviet.com/antv/chunklist.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
无线新闻1,http://111.229.84.232/yulin/tvb.php?id=1
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
 
 gxfrg008测试,#genre#
翡翠台,http://23.237.10.66:16106
翡翠台,http://50.7.168.234:8278/jade_twn/playlist.m3u8?tid=m51e8c5582227&ct=18336&tsum=d0987332bec9b0fecc98b9b9ff3ddeac
翡翠华丽,http://23.237.10.66:16410
